Time,Temperature,cop
3600,36.118342,0.0
7200,32.262189,0.0
10800,29.081561,0.0
14400,26.564992,0.0
18000,24.592353,0.0
21600,23.046828,0.0
25200,21.83305,0.0
28800,20.876298,0.0
32400,20.118666,0.0
36000,19.515408,0.0
39600,19.03197,0.0
43200,18.641669,0.0
46800,18.323896,0.0
50400,18.062729,0.0
54000,17.845858,0.0
57600,17.663764,0.0
61200,17.509079,0.0
64800,17.376097,0.0
68400,17.260392,0.0
72000,17.15853,0.0
75600,17.067839,0.0
79200,16.986239,0.0
82800,16.912103,0.0
86400,16.844161,0.0
100800,16.631797,0.0
115200,16.458607,0.0
129600,16.31358,0.0
144000,16.190187,0.0
158400,16.084177,0.0
172800,15.992531,0.0
187200,15.912955,0.0
201600,15.843624,0.0
216000,15.783041,0.0
230400,15.72996,0.0
244800,15.683329,0.0
259200,15.642258,0.0
273600,15.605987,0.0
288000,15.573871,0.0
302400,15.545356,0.0
316800,15.519967,0.0
331200,15.497299,0.0
345600,15.477002,0.0
360000,15.458775,0.0
374400,15.44236,0.0
388800,15.427534,0.0
403200,15.414104,0.0
417600,15.401902,0.0
432000,15.390785,0.0
446400,15.380626,0.0
460800,15.371317,0.0
475200,15.362762,0.0
489600,15.354879,0.0
504000,15.347595,0.0
518400,15.340846,0.0
604800,15.312071,0.0
691200,15.290703,0.0
777600,15.274219,0.0
864000,15.261087,0.0
950400,15.250348,0.0
1036800,15.241379,0.0
1123200,15.233759,0.0
1209600,15.227195,0.0
1296000,15.221478,0.0
1382400,15.21645,0.0
1468800,15.211994,0.0
1555200,15.208017,0.0
1641600,15.204446,0.0
1728000,15.201223,0.0
1814400,15.198299,0.0
1900800,15.195637,0.0
1987200,15.193202,0.0
2073600,15.190967,0.0
2160000,15.188908,0.0
2246400,15.187007,0.0
2332800,15.185246,0.0
2419200,15.18361,0.0
2505600,15.182086,0.0
2592000,15.180664,0.0
2678400,15.179334,0.0
2764800,15.178087,0.0
2851200,15.176916,0.0
2937600,15.175814,0.0
3024000,15.174775,0.0
3110400,15.173795,0.0
3196800,15.172868,0.0
