Time,Temperature,cop
3600,40.27539943,4.431242262679259
7200,42.38179062,4.6449121809981575
10800,43.74598633,4.793780060210314
14400,44.38837602,4.866990237835182
18000,44.66618177,4.8992978729550005
21600,44.75870152,4.910146220828302
25200,44.73856142,4.907780903217836
28800,44.64092147,4.896343735101041
32400,44.4870087,4.878415325119813
36000,44.29115229,4.855776958792306
39600,44.06364442,4.829724234786453
43200,43.81224985,4.8012368943011206
46800,43.54304516,4.771075857097962
50400,43.26089652,4.739840500703727
54000,42.96974953,4.708005144168092
57600,42.67282091,4.675944500665416
61200,42.37273563,4.643952794141782
64800,42.07163143,4.612258823497059
68400,41.7712417,4.581038154828084
72000,41.47296304,4.550423120545663
75600,41.17791121,4.52051106100648
79200,40.88696778,4.491371121978402
82800,40.60081932,4.4630498527933264
86400,40.33469582,4.003232141093467
100800,39.39397789,3.9284538949770793
115200,38.52724563,3.861835507348735
129600,37.73860026,3.8030310231324944
144000,37.02536754,3.7512750904136913
158400,36.38049743,3.705602322104202
172800,35.86208775,3.415018371658023
187200,35.38891142,3.3868564172707463
201600,34.95048227,3.361151264272197
216000,34.54661726,3.337796610769781
230400,34.17453083,3.316549391707577
244800,33.8307131,3.2971423364636467
259200,33.4678021,3.4300739054191927
273600,33.13261427,3.4097801504370464
288000,32.82536136,3.391374578979362
302400,32.54019981,3.374458374945504
316800,32.27379888,3.358797515295292
331200,32.02399436,3.3442357281202826
345600,31.713643,3.605964836248248
360000,31.42607128,3.586895683546391
374400,31.16455135,3.569716134005076
388800,30.92159699,3.553892724212196
403200,30.69366843,3.539166074076233
417600,30.47892983,3.5253951066829514
432000,30.29047912,3.459044585710216
446400,30.11088876,3.447970206703206
460800,29.93824344,3.4373861294488264
475200,29.77283776,3.427302454163688
489600,29.61434061,3.417691477230813
504000,29.46221029,3.4085136513302965
518400,29.31487606,3.403393652189135
604800,28.5209852,3.412333712688958
691200,28.07848284,3.1756380778734754
777600,27.78817152,3.022918644054501
864000,27.33529836,3.0881703949522383
950400,26.69108995,3.2577949716317294
1036800,26.02732456,3.369172386587032
1123200,25.73133609,3.1471976278724
1209600,25.39052553,3.154733828222528
1296000,24.97409785,3.218158885152423
1382400,24.69866684,3.134372903352713
1468800,24.80042882,2.845929698937306
1555200,24.93785898,2.7192447496980425
1641600,25.0946382,2.615373313088874
1728000,25.12521992,2.600963492944078
1814400,25.0483795,2.611806651272077
1900800,25.00698649,2.5706588723551835
1987200,24.93855829,2.5570145602143626
2073600,24.6836452,2.640409816269748
2160000,23.92429931,2.9989552269110704
2246400,23.27476762,3.107595825179075
2332800,23.05456154,2.9248694452515798
2419200,22.97957695,2.82607669930352
2505600,22.94930964,2.765142552482871
2592000,22.88436296,2.74994214982374
2678400,22.67691514,2.8172143539258903
2764800,22.46066227,2.8401562781446
2851200,22.28719398,2.830230137495507
2937600,22.18164842,2.7922821849879247
3024000,21.97271586,2.849331563114132
3110400,21.78094121,2.858211192363116
3196800,21.51654664,2.923549751861497
3283200,21.10462605,3.0724629768741614
3369600,20.71873505,3.1417065494454364
3456000,21.15457457,3.1696473407184507
3542400,20.85619738,2.9558032624268624
3628800,20.75104696,2.878934782681163
3715200,20.54798771,2.9416515389638915
3801600,20.35942116,2.956596211023357
3888000,20.11472994,3.018433560106894
3974400,19.99368133,3.0792690616463543
4060800,20.54125896,3.1361571991133177
4147200,21.22520038,3.174119686168253
4233600,21.14866002,3.1469373340745475
4320000,20.68068811,3.089704170848936
4406400,21.34973911,3.2085354961773684
4492800,21.60168346,3.204141817759393
4579200,20.76413847,2.8908163082514218
4665600,20.17724509,2.9566646569775465
4752000,19.68393256,3.0379791000426484
4838400,20.30731379,3.155289871049688
4924800,22.24118238,3.202674349603825
5011200,24.34626039,3.2732350493950517
5097600,24.13257076,3.286199908141489
5184000,22.9830517,3.2316914152419267
5270400,24.8800867,3.3819378058503946
5356800,26.59207607,3.4463232405281974
5443200,25.13974993,3.3240178658953514
5529600,25.34964748,3.39933154061613
5616000,27.07248749,3.537895431902066
5702400,26.79083281,3.423323019415992
5788800,26.90599317,3.448880650908954
5875200,25.92283599,3.425047594214524
5961600,23.33665186,3.038919972053265
6048000,21.77411108,3.0739138758868743
6134400,20.78140353,3.067133382087879
6220800,20.1705787,3.0134504511145
6307200,21.14777881,3.22546051156149
6393600,23.12220665,3.2709002061540087
6480000,24.09024369,3.2998858172138075
6566400,21.99206444,3.047536780669549
6652800,20.80332308,2.953366421218365
6739200,19.97556074,3.0091790754418333
6825600,21.00838915,3.2555575728440087
6912000,24.31989834,3.34695794228863
6998400,20.80685331,0.0
7084800,28.6536715,3.4859594594879484
7171200,25.35754608,3.3081196162886
7257600,22.74577968,3.1177999489729507
7344000,21.50626889,3.182534331122272
7430400,22.62936799,3.302033534542952
7516800,25.68599011,3.513165100989833
7603200,21.63746542,0.0
7689600,20.10484408,0.0
7776000,32.02144129,3.746184094366956
7862400,24.02717043,0.0
7948800,21.3800995,0.0
8035200,33.72016675,3.86150053719547
8121600,31.28603022,3.7686704750523714
8208000,24.85249217,0.0
8294400,22.20466976,0.0
8380800,20.79716886,0.0
8467200,19.94935416,0.0
8553600,36.10889755,4.045333212741533
8640000,31.09082994,3.691385426447004
8726400,27.2376359,3.2533181786685583
8812800,24.9869479,3.0917945046592337
8899200,23.43822571,3.111246100041805
8985600,22.8701862,3.3675721817812523
9072000,25.95268935,3.441396615928841
9158400,22.19831126,0.0
9244800,20.72886207,0.0
9331200,19.92788392,0.0
9417600,19.41637394,0.0
9504000,19.05833566,0.0
