dt,dt,T_feed,Q,heat_pump
0,2019-01-01,68.8,1510.4126103750002,700.0
1,2019-01-02,72.41666666666667,1789.1354146249998,700.0
2,2019-01-03,74.93333333333334,2072.85374875,700.0
3,2019-01-04,73.28750000000001,2105.850251375,700.0
4,2019-01-05,70.09166666666667,1899.5481802499999,700.0
5,2019-01-06,70.7625,1838.849682625,700.0
6,2019-01-07,70.69583333333334,1782.201597,700.0
7,2019-01-08,70.03333333333333,1714.6833211250002,700.0
8,2019-01-09,72.71249999999999,1904.8235335,700.0
9,2019-01-10,74.47083333333333,2107.406479625,700.0
10,2019-01-11,73.3125,2113.57979475,700.0
11,2019-01-12,70.63333333333334,1935.30419925,700.0
12,2019-01-13,68.64166666666667,1686.51128275,700.0
13,2019-01-14,71.43333333333334,1778.146202375,700.0
14,2019-01-15,71.09583333333333,1785.7899424999998,700.0
15,2019-01-16,69.92916666666666,1725.167172625,700.0
16,2019-01-17,70.88333333333334,1777.1218204999998,700.0
17,2019-01-18,75.00416666666666,2086.419822625,700.0
18,2019-01-19,76.84583333333333,2334.27396725,700.0
19,2019-01-20,78.375,2541.4163616250003,700.0
20,2019-01-21,78.55833333333334,2644.8069328750003,700.0
21,2019-01-22,78.3875,2664.58513775,700.0
22,2019-01-23,78.89999999999999,2682.871803875,700.0
23,2019-01-24,79.06666666666666,2695.127690125,700.0
24,2019-01-25,77.81666666666666,2631.9507435,700.0
25,2019-01-26,72.29166666666667,2301.534581,700.0
26,2019-01-27,70.21249999999999,1988.0586925,700.0
27,2019-01-28,72.75416666666666,1989.5184485,700.0
28,2019-01-29,74.16666666666667,2094.5719435,700.0
29,2019-01-30,75.0625,2231.9407690000003,700.0
30,2019-01-31,75.25,2316.1159505,700.0
31,2019-02-01,74.125,2265.796241125,700.0
32,2019-02-02,73.64166666666667,2213.16879125,700.0
33,2019-02-03,73.67916666666666,2192.768187625,700.0
34,2019-02-04,74.19166666666666,2198.322593,700.0
35,2019-02-05,73.21249999999999,2156.15873925,700.0
36,2019-02-06,72.92083333333333,2098.5811745,700.0
37,2019-02-07,71.70416666666667,1988.2383655,700.0
38,2019-02-08,69.08749999999999,1749.258829875,700.0
39,2019-02-09,67.7,1516.6171628749998,700.0
40,2019-02-10,68.16250000000001,1438.505416,638.505416
41,2019-02-11,70.75416666666666,1611.786747,700.0
42,2019-02-12,71.87916666666668,1790.1575947499998,700.0
43,2019-02-13,70.75,1799.0538616249999,700.0
44,2019-02-14,70.3875,1757.098770375,700.0
45,2019-02-15,69.19166666666666,1611.9770664999999,700.0
46,2019-02-16,68.27916666666667,1487.560342,687.560342
47,2019-02-17,68.20833333333333,1427.2907294999998,627.2907294999998
48,2019-02-18,68.125,1390.3909128750001,590.3909128750001
49,2019-02-19,68.58749999999999,1429.148619375,629.148619375
50,2019-02-20,68.87916666666666,1468.569195,668.569195
51,2019-02-21,67.6125,1380.08575125,580.0857512499999
52,2019-02-22,67.94166666666666,1388.4143516249999,588.4143516249999
53,2019-02-23,71.72500000000001,1650.605906875,700.0
54,2019-02-24,70.22500000000001,1657.9568767500002,700.0
55,2019-02-25,68.5125,1533.636415375,700.0
56,2019-02-26,67.67916666666666,1409.97763075,609.9776307499999
57,2019-02-27,67.28333333333333,1275.1173925,475.11739250000005
58,2019-02-28,66.54166666666667,1191.136629625,391.13662962500007
59,2019-03-01,68.30833333333334,1308.15141325,508.1514132499999
60,2019-03-02,68.89999999999999,1400.66017225,600.66017225
61,2019-03-03,65.39166666666667,1190.51908175,390.51908174999994
62,2019-03-04,65.87083333333334,1138.8691205,338.8691205
63,2019-03-05,69.09583333333333,1341.99910675,541.99910675
64,2019-03-06,67.0125,1261.5219385,461.52193850000003
65,2019-03-07,65.26666666666667,1131.1405696250001,331.1405696250001
66,2019-03-08,67.69583333333334,1236.85183525,436.85183525
67,2019-03-09,67.12083333333334,1219.5539449999999,419.5539449999999
68,2019-03-10,67.88333333333334,1305.15696825,505.1569682500001
69,2019-03-11,71.29166666666667,1604.243974,700.0
70,2019-03-12,69.58749999999999,1598.623898625,700.0
71,2019-03-13,68.91250000000001,1563.1666322499998,700.0
72,2019-03-14,69.28333333333333,1559.9121751250002,700.0
73,2019-03-15,67.02916666666667,1363.86005725,563.86005725
74,2019-03-16,66.40833333333333,1241.32846875,441.32846874999996
75,2019-03-17,67.09166666666667,1251.49718675,451.4971867500001
76,2019-03-18,70.325,1489.1657750000002,689.1657750000002
77,2019-03-19,70.74166666666666,1653.590261125,700.0
78,2019-03-20,69.22500000000001,1602.209317375,700.0
79,2019-03-21,66.21666666666667,1348.50320575,548.50320575
80,2019-03-22,65.38333333333334,1122.40449225,322.40449225
81,2019-03-23,65.92916666666666,1075.15255325,0.0
82,2019-03-24,67.74583333333334,1190.2749565000001,390.27495650000014
83,2019-03-25,69.78750000000001,1429.7771761249999,629.7771761249999
84,2019-03-26,69.67916666666666,1535.9610595000001,700.0
85,2019-03-27,68.09166666666667,1465.5770676250002,665.5770676250002
86,2019-03-28,66.42083333333333,1300.4212025,500.42120249999994
87,2019-03-29,64.90833333333333,1095.2002111250001,295.2002111250001
88,2019-03-30,64.89583333333333,943.858532375,0.0
89,2019-03-31,65.82173913043479,1024.8233143043478,0.0
90,2019-04-01,67.27499999999999,1131.9359995,331.9359995
91,2019-04-02,64.90833333333333,1021.28204775,0.0
92,2019-04-03,65.21249999999999,1019.38772525,0.0
93,2019-04-04,67.89166666666667,1175.676366375,375.67636637500004
94,2019-04-05,67.74583333333334,1244.6033049999999,444.60330499999986
95,2019-04-06,64.70833333333333,1044.1035895,0.0
96,2019-04-07,63.449999999999996,851.101018375,0.0
97,2019-04-08,63.70416666666667,803.9473605,0.0
98,2019-04-09,66.02499999999999,931.8401086250001,0.0
99,2019-04-10,67.95416666666667,1154.0580177499999,354.05801774999986
100,2019-04-11,69.72500000000001,1418.6071032500001,618.6071032500001
101,2019-04-12,71.08749999999999,1660.312310125,700.0
102,2019-04-13,71.675,1808.4146305000002,700.0
103,2019-04-14,70.29166666666667,1763.011081375,700.0
104,2019-04-15,66.57083333333334,1434.8433562500002,634.8433562500002
105,2019-04-16,65.22500000000001,1149.0137272499999,349.0137272499999
106,2019-04-17,63.5625,901.436535625,0.0
107,2019-04-18,62.76666666666667,683.1866325,0.0
108,2019-04-19,62.24166666666667,549.1053655,0.0
109,2019-04-20,62.612500000000004,512.90204,0.0
110,2019-04-21,62.80833333333333,500.76709475,0.0
111,2019-04-22,62.199999999999996,480.76501525000003,0.0
112,2019-04-23,61.479166666666664,466.73014337499995,0.0
113,2019-04-24,60.916666666666664,406.54705874999996,0.0
114,2019-04-25,62.0875,414.57615725,0.0
