dt,dt,T_feed,Q,heat_pump
1,2019-01-01,68.84583333333333,1510.412610428357,0.0
2,2019-01-02,72.45,1789.135414554584,0.0
3,2019-01-03,74.97083333333333,2072.8537485406982,0.0
4,2019-01-04,73.32916666666667,2105.850251266253,0.0
5,2019-01-05,70.15416666666667,1899.548180341906,0.0
6,2019-01-06,70.8,1838.849682721683,0.0
7,2019-01-07,70.75416666666666,1782.201597059342,0.0
8,2019-01-08,70.05416666666666,1714.683321320748,0.0
9,2019-01-09,72.74166666666666,1904.8235336571734,0.0
10,2019-01-10,74.50833333333334,2107.406479265512,0.0
11,2019-01-11,73.37083333333334,2113.579795125727,0.0
12,2019-01-12,70.68333333333334,1935.3041991395596,0.0
13,2019-01-13,68.6875,1686.5112826593024,0.0
14,2019-01-14,71.48333333333333,1778.1462019029896,0.0
15,2019-01-15,71.13333333333334,1785.7899425188314,0.0
16,2019-01-16,69.95416666666667,1725.167172448683,0.0
17,2019-01-17,70.91666666666667,1777.1218206332317,0.0
18,2019-01-18,75.05833333333334,2086.419822510769,0.0
19,2019-01-19,76.88333333333334,2334.273967167172,0.0
20,2019-01-20,78.38333333333334,2541.416361493218,0.0
21,2019-01-21,78.58749999999999,2644.806932835769,0.0
22,2019-01-22,78.40833333333333,2664.5851376589903,0.0
23,2019-01-23,78.93333333333334,2682.871803692955,0.0
24,2019-01-24,79.08333333333333,2695.1276897690745,0.0
25,2019-01-25,77.84166666666667,2631.950743457084,0.0
26,2019-01-26,72.3125,2301.5345812122873,0.0
27,2019-01-27,70.2625,1988.0586923712556,0.0
28,2019-01-28,72.8125,1989.518448479778,0.0
29,2019-01-29,74.21666666666667,2094.571943380137,0.0
30,2019-01-30,75.10000000000001,2231.9407689646337,0.0
31,2019-01-31,75.28750000000001,2316.115950563427,0.0
32,2019-02-01,74.15833333333333,2265.7962410483333,0.0
33,2019-02-02,73.68333333333334,2213.1687911739705,0.0
34,2019-02-03,73.72083333333333,2192.7681876984448,0.0
35,2019-02-04,74.22083333333333,2198.3225932427845,0.0
36,2019-02-05,73.23333333333333,2156.1587394740477,0.0
37,2019-02-06,72.96249999999999,2098.5811746654035,0.0
38,2019-02-07,71.75833333333334,1988.2383653871505,0.0
39,2019-02-08,69.12083333333334,1749.2588299711585,0.0
40,2019-02-09,67.72500000000001,1516.6171632615112,0.0
41,2019-02-10,68.2,1438.5054157665154,0.0
42,2019-02-11,70.78750000000001,1611.7867471963307,0.0
43,2019-02-12,71.92083333333333,1790.157594612291,0.0
44,2019-02-13,70.78750000000001,1799.0538616882502,0.0
45,2019-02-14,70.41250000000001,1757.0987701543602,0.0
46,2019-02-15,69.20833333333333,1611.9770663552652,0.0
47,2019-02-16,68.325,1487.5603417853165,0.0
48,2019-02-17,68.23333333333333,1427.2907297050904,0.0
49,2019-02-18,68.16666666666667,1390.3909128194466,0.0
50,2019-02-19,68.59583333333333,1429.1486192435252,0.0
51,2019-02-20,68.9125,1468.5691949031236,0.0
52,2019-02-21,67.66250000000001,1380.0857513551673,0.0
53,2019-02-22,68.00833333333334,1388.4143514860264,0.0
54,2019-02-23,71.74166666666666,1650.6059072207502,0.0
55,2019-02-24,70.27083333333333,1657.9568764827607,0.0
56,2019-02-25,68.55,1533.6364154890118,0.0
57,2019-02-26,67.7,1409.977630730584,0.0
58,2019-02-27,67.30416666666666,1275.1173926651663,0.0
59,2019-02-28,66.575,1191.1366296316178,0.0
60,2019-03-01,68.35416666666667,1308.1514132591328,0.0
61,2019-03-02,68.90833333333333,1400.660172623926,0.0
62,2019-03-03,65.4375,1190.5190818149297,0.0
63,2019-03-04,65.90416666666667,1138.8691205450987,0.0
64,2019-03-05,69.14583333333333,1341.9991066020375,0.0
65,2019-03-06,67.0625,1261.5219385857015,0.0
66,2019-03-07,65.31666666666666,1131.1405696191337,0.0
67,2019-03-08,67.7375,1236.8518351268,0.0
68,2019-03-09,67.14166666666667,1219.5539451936922,0.0
69,2019-03-10,67.93333333333334,1305.1569681352028,0.0
70,2019-03-11,71.30833333333334,1604.2439743635332,0.0
71,2019-03-12,69.625,1598.6238986173032,0.0
72,2019-03-13,68.95,1563.1666317199467,0.0
73,2019-03-14,69.33333333333333,1559.912174747038,0.0
74,2019-03-15,67.04583333333333,1363.8600572408968,0.0
75,2019-03-16,66.43333333333334,1241.328469186841,0.0
76,2019-03-17,67.15416666666667,1251.4971868650862,0.0
77,2019-03-18,70.375,1489.165774906769,0.0
78,2019-03-19,70.78750000000001,1653.590260878593,0.0
79,2019-03-20,69.25,1602.2093172611446,700.0
80,2019-03-21,66.24583333333334,1348.503205910439,700.0
81,2019-03-22,65.44583333333334,1122.404492318105,700.0
82,2019-03-23,65.98333333333333,1075.1525532774574,700.0
83,2019-03-24,67.80416666666666,1190.274956374896,700.0
84,2019-03-25,69.8125,1429.777176140817,700.0
85,2019-03-26,69.70833333333333,1535.9610593365358,700.0
86,2019-03-27,68.1375,1465.5770674710573,700.0
87,2019-03-28,66.47083333333333,1300.4212022484373,700.0
88,2019-03-29,64.95,1095.2002112260977,700.0
89,2019-03-30,64.91250000000001,943.858532298776,700.0
90,2019-03-31,65.86086956521739,1024.823314550012,700.0
91,2019-04-01,67.30416666666666,1131.9359992721377,700.0
92,2019-04-02,64.94583333333334,1021.2820475975022,700.0
93,2019-04-03,65.25416666666666,1019.3877252162955,700.0
94,2019-04-04,67.9375,1175.676366456021,700.0
95,2019-04-05,67.75833333333334,1244.6033053187623,700.0
96,2019-04-06,64.7375,1044.1035895104349,700.0
97,2019-04-07,63.462500000000006,851.1010184064011,700.0
98,2019-04-08,63.73333333333333,803.9473606806224,700.0
